;feature_name;feature_importance_value
119;duration_partial_dd;126.6525338450539
58;tender_amount;41.017172853704
48;event_6_;22.43537003109579
50;event_6_contract_end;14.13393980915909
38;event_5_;11.04109874824234
53;event_6_status;8.42519622354573
30;event_4_contract_end;8.15892237679321
55;event_6_suspension;7.82335170127163
43;event_5_status;7.659197758830472
45;event_5_suspension;5.823654054567229
40;event_5_contract_end;5.493537859591986
33;event_4_status;5.237071993137315
28;event_3_variant;5.135057111660842
37;event_4_variant;5.13035764446611
47;event_5_variant;4.982620840664336
64;region_centrale;4.45271508703469
27;event_3_suspension;4.033792105666143
57;event_6_variant;3.656087160781538
52;event_6_reprise;3.120316754856592
35;event_4_suspension;3.109678132520806
25;event_3_status;2.9985949100014393
54;event_6_subcontract;2.9358270876487222
44;event_5_subcontract;2.7952484955826744
11;event_2_award;2.340477556174945
69;region_lombardia;2.2950193524052156
13;event_2_contract_start;2.2626146342475844
5;event_1_publication_it;2.1456584256041284
82;region_veneto;2.02216216281162
32;event_4_reprise;1.9039921696411612
42;event_5_reprise;1.7058923612374717
1;event_1_award;1.6533502651066567
59;framework;1.4405706439852597
79;region_toscana;1.4237221047052149
26;event_3_subcontract;1.4218607708034927
65;region_emilia_romagna;1.2991922595408607
18;event_2_subcontract;1.2156496487223534
34;event_4_subcontract;1.1951146867114195
74;region_provincia_autonoma_di_bolzano;1.1244414832953165
63;region_campania;0.9826366244183672
70;region_marche;0.9254382613946908
76;region_puglia;0.9029932360236689
67;region_lazio;0.8085139266337249
75;region_provincia_autonoma_di_trento;0.7877272316842191
22;event_3_contract_end;0.6992563250736944
23;event_3_contract_start;0.6782481009955271
73;region_piemonte;0.6578059207883532
66;region_friuli_venezia_giulia;0.6558178850078781
78;region_sicilia;0.6467150287863228
19;event_2_suspension;0.5121044877385813
100;cpv_45;0.4781534145226787
77;region_sardegna;0.44306110457116155
31;event_4_contract_start;0.43100476170107827
20;event_2_variant;0.42322698705410094
62;region_calabria;0.41399906663485025
61;region_basilicata;0.38318221484564974
60;region_abruzzo;0.3289478583931084
83;sector_ordinari;0.31483566251210676
80;region_umbria;0.3064910949676678
84;sector_speciali;0.2815427052765039
81;region_valle_daosta;0.27973470478386053
21;event_3_award;0.26945310942282125
102;cpv_50;0.24153840988494785
24;event_3_reprise;0.21037740404277291
72;region_non_classificato;0.19856924344873944
46;event_5_testing;0.1938513753622936
71;region_molise;0.18821604381173707
99;cpv_44;0.1485854523961891
91;cpv_34;0.13682725532360362
4;event_1_publication_eu;0.12847913393646285
49;event_6_award;0.10668482631422618
89;cpv_32;0.1059888475092215
41;event_5_contract_start;0.10138977066947806
9;event_1_suspension;0.09318771369790198
56;event_6_testing;0.0926286293853305
3;event_1_contract_start;0.08251845366485519
29;event_4_award;0.08242864165560368
17;event_2_status;0.08073634057859053
39;event_5_award;0.07968463074130014
68;region_liguria;0.07399608837726769
51;event_6_contract_start;0.06994850151882004
15;event_2_publication_it;0.06060835193332405
8;event_1_subcontract;0.04735937617383267
113;cpv_79;0.04571485187987299
116;cpv_90;0.04454264781104105
97;cpv_42;0.04368055077423269
112;cpv_77;0.04312593287720213
108;cpv_71;0.04060990870855141
96;cpv_41;0.03468656579353476
12;event_2_contract_end;0.03272029936148881
118;cpv_98;0.031642930129149906
10;event_1_variant;0.030470227688070218
115;cpv_9;0.028034023313663052
88;cpv_31;0.026174985063177968
95;cpv_39;0.02616649696227787
36;event_4_testing;0.024861314045356474
16;event_2_reprise;0.024605342121676543
117;cpv_92;0.019734457744758353
92;cpv_35;0.015225876751210687
106;cpv_65;0.0150307529916187
93;cpv_37;0.014495614941753462
103;cpv_51;0.010642632832273886
7;event_1_status;0.009907938430397953
114;cpv_85;0.00971939424986816
98;cpv_43;0.00789583682563641
14;event_2_publication_eu;0.00672276999037881
109;cpv_72;0.005799993207157673
2;event_1_contract_end;0.005064489335170786
107;cpv_70;0.004700366793746392
105;cpv_63;0.0037458074464470172
110;cpv_75;0.0032662951447524034
94;cpv_38;0.0030520830898612666
85;cpv_14;0.002292313894096014
87;cpv_3;0.0019848783020561104
90;cpv_33;0.0019831837581586703
6;event_1_reprise;0.0010737630858068698
86;cpv_24;0.0007867212502084669
104;cpv_60;0.0006024361090362155
101;cpv_48;0.00037308817107812664
111;cpv_76;0.0
0;event_0_creation;0.0
